Area Type,Area Name,Date,Year,Month,Seasonally Adjusted ,Not Seasonally Adjusted
National,U.S.,03/01/1981,1981,March,0.074,0.077
National,U.S.,04/01/1981,1981,April,0.072,0.07
National,U.S.,05/01/1981,1981,May,0.075,0.071
National,U.S.,06/01/1981,1981,June,0.075,0.077
National,U.S.,07/01/1981,1981,July,0.072,0.073
National,U.S.,08/01/1981,1981,August,0.074,0.072
National,U.S.,09/01/1981,1981,September,0.076,0.073
National,U.S.,10/01/1981,1981,October,0.079,0.075
National,U.S.,11/01/1981,1981,November,0.083,0.079
National,U.S.,12/01/1981,1981,December,0.085,0.083
National,U.S.,01/01/1982,1982,January,0.086,0.094
National,U.S.,02/01/1982,1982,February,0.089,0.096
National,U.S.,03/01/1982,1982,March,0.09,0.095
National,U.S.,04/01/1982,1982,April,0.093,0.092
National,U.S.,05/01/1982,1982,May,0.094,0.091
National,U.S.,06/01/1982,1982,June,0.096,0.098
National,U.S.,07/01/1982,1982,July,0.098,0.098
National,U.S.,08/01/1982,1982,August,0.098,0.096
National,U.S.,09/01/1982,1982,September,0.101,0.097
National,U.S.,10/01/1982,1982,October,0.104,0.099
National,U.S.,11/01/1982,1982,November,0.108,0.104
National,U.S.,12/01/1982,1982,December,0.108,0.105
National,U.S.,01/01/1983,1983,January,0.104,0.114
National,U.S.,02/01/1983,1983,February,0.104,0.113
National,U.S.,03/01/1983,1983,March,0.103,0.108
National,U.S.,04/01/1983,1983,April,0.102,0.1
National,U.S.,05/01/1983,1983,May,0.101,0.098
National,U.S.,06/01/1983,1983,June,0.101,0.102
National,U.S.,07/01/1983,1983,July,0.094,0.094
National,U.S.,08/01/1983,1983,August,0.095,0.092
National,U.S.,09/01/1983,1983,September,0.092,0.088
National,U.S.,10/01/1983,1983,October,0.088,0.084
National,U.S.,11/01/1983,1983,November,0.085,0.081
National,U.S.,12/01/1983,1983,December,0.083,0.08
National,U.S.,01/01/1984,1984,January,0.08,0.088
National,U.S.,02/01/1984,1984,February,0.078,0.084
National,U.S.,03/01/1984,1984,March,0.078,0.081
National,U.S.,04/01/1984,1984,April,0.077,0.076
National,U.S.,05/01/1984,1984,May,0.074,0.072
National,U.S.,06/01/1984,1984,June,0.072,0.074
National,U.S.,07/01/1984,1984,July,0.075,0.075
National,U.S.,08/01/1984,1984,August,0.075,0.073
National,U.S.,09/01/1984,1984,September,0.073,0.071
National,U.S.,10/01/1984,1984,October,0.074,0.07
National,U.S.,11/01/1984,1984,November,0.072,0.069
National,U.S.,12/01/1984,1984,December,0.073,0.07
National,U.S.,01/01/1985,1985,January,0.073,0.08
National,U.S.,02/01/1985,1985,February,0.072,0.078
National,U.S.,03/01/1985,1985,March,0.072,0.075
National,U.S.,04/01/1985,1985,April,0.073,0.071
National,U.S.,05/01/1985,1985,May,0.072,0.07
National,U.S.,06/01/1985,1985,June,0.074,0.075
National,U.S.,07/01/1985,1985,July,0.074,0.074
National,U.S.,08/01/1985,1985,August,0.071,0.069
National,U.S.,09/01/1985,1985,September,0.071,0.069
National,U.S.,10/01/1985,1985,October,0.071,0.068
National,U.S.,11/01/1985,1985,November,0.07,0.067
National,U.S.,12/01/1985,1985,December,0.07,0.067
National,U.S.,01/01/1986,1986,January,0.067,0.073
National,U.S.,02/01/1986,1986,February,0.072,0.078
National,U.S.,03/01/1986,1986,March,0.072,0.075
National,U.S.,04/01/1986,1986,April,0.071,0.07
National,U.S.,05/01/1986,1986,May,0.072,0.07
National,U.S.,06/01/1986,1986,June,0.072,0.073
National,U.S.,07/01/1986,1986,July,0.07,0.07
National,U.S.,08/01/1986,1986,August,0.069,0.067
National,U.S.,09/01/1986,1986,September,0.07,0.068
National,U.S.,10/01/1986,1986,October,0.07,0.066
National,U.S.,11/01/1986,1986,November,0.069,0.066
National,U.S.,12/01/1986,1986,December,0.066,0.063
National,U.S.,01/01/1987,1987,January,0.066,0.073
National,U.S.,02/01/1987,1987,February,0.066,0.072
National,U.S.,03/01/1987,1987,March,0.066,0.069
National,U.S.,04/01/1987,1987,April,0.063,0.062
National,U.S.,05/01/1987,1987,May,0.063,0.061
National,U.S.,06/01/1987,1987,June,0.062,0.063
National,U.S.,07/01/1987,1987,July,0.061,0.061
National,U.S.,08/01/1987,1987,August,0.06,0.058
National,U.S.,09/01/1987,1987,September,0.059,0.057
National,U.S.,10/01/1987,1987,October,0.06,0.057
National,U.S.,11/01/1987,1987,November,0.058,0.056
National,U.S.,12/01/1987,1987,December,0.057,0.054
National,U.S.,01/01/1988,1988,January,0.057,0.063
National,U.S.,02/01/1988,1988,February,0.057,0.062
National,U.S.,03/01/1988,1988,March,0.057,0.059
National,U.S.,04/01/1988,1988,April,0.054,0.053
National,U.S.,05/01/1988,1988,May,0.056,0.054
National,U.S.,06/01/1988,1988,June,0.054,0.055
National,U.S.,07/01/1988,1988,July,0.054,0.055
National,U.S.,08/01/1988,1988,August,0.056,0.054
National,U.S.,09/01/1988,1988,September,0.054,0.052
National,U.S.,10/01/1988,1988,October,0.054,0.05
National,U.S.,11/01/1988,1988,November,0.053,0.052
National,U.S.,12/01/1988,1988,December,0.053,0.05
National,U.S.,01/01/1989,1989,January,0.054,0.06
National,U.S.,02/01/1989,1989,February,0.052,0.056
National,U.S.,03/01/1989,1989,March,0.05,0.052
National,U.S.,04/01/1989,1989,April,0.052,0.051
National,U.S.,05/01/1989,1989,May,0.052,0.05
National,U.S.,06/01/1989,1989,June,0.053,0.055
National,U.S.,07/01/1989,1989,July,0.052,0.053
National,U.S.,08/01/1989,1989,August,0.052,0.051
National,U.S.,09/01/1989,1989,September,0.053,0.051
National,U.S.,10/01/1989,1989,October,0.053,0.05
National,U.S.,11/01/1989,1989,November,0.054,0.052
National,U.S.,12/01/1989,1989,December,0.054,0.051
National,U.S.,01/01/1990,1990,January,0.054,0.06
National,U.S.,02/01/1990,1990,February,0.053,0.059
National,U.S.,03/01/1990,1990,March,0.052,0.055
National,U.S.,04/01/1990,1990,April,0.054,0.053
National,U.S.,05/01/1990,1990,May,0.054,0.052
National,U.S.,06/01/1990,1990,June,0.052,0.054
National,U.S.,07/01/1990,1990,July,0.055,0.056
National,U.S.,08/01/1990,1990,August,0.057,0.055
National,U.S.,09/01/1990,1990,September,0.059,0.056
National,U.S.,10/01/1990,1990,October,0.059,0.055
National,U.S.,11/01/1990,1990,November,0.062,0.059
National,U.S.,12/01/1990,1990,December,0.063,0.06
National,U.S.,01/01/1991,1991,January,0.064,0.071
National,U.S.,02/01/1991,1991,February,0.066,0.073
National,U.S.,03/01/1991,1991,March,0.068,0.072
National,U.S.,04/01/1991,1991,April,0.067,0.065
National,U.S.,05/01/1991,1991,May,0.069,0.067
National,U.S.,06/01/1991,1991,June,0.069,0.07
National,U.S.,07/01/1991,1991,July,0.068,0.068
National,U.S.,08/01/1991,1991,August,0.069,0.066
National,U.S.,09/01/1991,1991,September,0.069,0.065
National,U.S.,10/01/1991,1991,October,0.07,0.065
National,U.S.,11/01/1991,1991,November,0.07,0.067
National,U.S.,12/01/1991,1991,December,0.073,0.069
National,U.S.,01/01/1992,1992,January,0.073,0.081
National,U.S.,02/01/1992,1992,February,0.074,0.082
National,U.S.,03/01/1992,1992,March,0.074,0.078
National,U.S.,04/01/1992,1992,April,0.074,0.072
National,U.S.,05/01/1992,1992,May,0.076,0.073
National,U.S.,06/01/1992,1992,June,0.078,0.08
National,U.S.,07/01/1992,1992,July,0.077,0.077
National,U.S.,08/01/1992,1992,August,0.076,0.074
National,U.S.,09/01/1992,1992,September,0.076,0.073
National,U.S.,10/01/1992,1992,October,0.073,0.069
National,U.S.,11/01/1992,1992,November,0.074,0.071
National,U.S.,12/01/1992,1992,December,0.074,0.071
National,U.S.,01/01/1993,1993,January,0.073,0.08
National,U.S.,02/01/1993,1993,February,0.071,0.078
National,U.S.,03/01/1993,1993,March,0.07,0.074
National,U.S.,04/01/1993,1993,April,0.071,0.069
National,U.S.,05/01/1993,1993,May,0.071,0.068
National,U.S.,06/01/1993,1993,June,0.07,0.072
National,U.S.,07/01/1993,1993,July,0.069,0.07
National,U.S.,08/01/1993,1993,August,0.068,0.066
National,U.S.,09/01/1993,1993,September,0.067,0.064
National,U.S.,10/01/1993,1993,October,0.068,0.064
National,U.S.,11/01/1993,1993,November,0.066,0.062
National,U.S.,12/01/1993,1993,December,0.065,0.061
National,U.S.,01/01/1994,1994,January,0.066,0.073
National,U.S.,02/01/1994,1994,February,0.066,0.071
National,U.S.,03/01/1994,1994,March,0.065,0.068
National,U.S.,04/01/1994,1994,April,0.064,0.062
National,U.S.,05/01/1994,1994,May,0.061,0.059
National,U.S.,06/01/1994,1994,June,0.061,0.062
National,U.S.,07/01/1994,1994,July,0.061,0.062
National,U.S.,08/01/1994,1994,August,0.06,0.059
National,U.S.,09/01/1994,1994,September,0.059,0.056
National,U.S.,10/01/1994,1994,October,0.058,0.054
National,U.S.,11/01/1994,1994,November,0.056,0.053
National,U.S.,12/01/1994,1994,December,0.055,0.051
National,U.S.,01/01/1995,1995,January,0.056,0.062
National,U.S.,02/01/1995,1995,February,0.054,0.059
National,U.S.,03/01/1995,1995,March,0.054,0.057
National,U.S.,04/01/1995,1995,April,0.058,0.056
National,U.S.,05/01/1995,1995,May,0.056,0.055
National,U.S.,06/01/1995,1995,June,0.056,0.058
National,U.S.,07/01/1995,1995,July,0.057,0.059
National,U.S.,08/01/1995,1995,August,0.057,0.056
National,U.S.,09/01/1995,1995,September,0.056,0.054
National,U.S.,10/01/1995,1995,October,0.055,0.052
National,U.S.,11/01/1995,1995,November,0.056,0.053
National,U.S.,12/01/1995,1995,December,0.056,0.052
National,U.S.,01/01/1996,1996,January,0.056,0.063
National,U.S.,02/01/1996,1996,February,0.055,0.06
National,U.S.,03/01/1996,1996,March,0.055,0.058
National,U.S.,04/01/1996,1996,April,0.056,0.054
National,U.S.,05/01/1996,1996,May,0.056,0.054
National,U.S.,06/01/1996,1996,June,0.053,0.055
National,U.S.,07/01/1996,1996,July,0.055,0.056
National,U.S.,08/01/1996,1996,August,0.051,0.051
National,U.S.,09/01/1996,1996,September,0.052,0.05
National,U.S.,10/01/1996,1996,October,0.052,0.049
National,U.S.,11/01/1996,1996,November,0.054,0.05
National,U.S.,12/01/1996,1996,December,0.054,0.05
National,U.S.,01/01/1997,1997,January,0.053,0.059
National,U.S.,02/01/1997,1997,February,0.052,0.057
National,U.S.,03/01/1997,1997,March,0.052,0.055
National,U.S.,04/01/1997,1997,April,0.051,0.048
National,U.S.,05/01/1997,1997,May,0.049,0.047
National,U.S.,06/01/1997,1997,June,0.05,0.052
National,U.S.,07/01/1997,1997,July,0.049,0.05
National,U.S.,08/01/1997,1997,August,0.048,0.048
National,U.S.,09/01/1997,1997,September,0.049,0.047
National,U.S.,10/01/1997,1997,October,0.047,0.044
National,U.S.,11/01/1997,1997,November,0.046,0.043
National,U.S.,12/01/1997,1997,December,0.047,0.044
National,U.S.,01/01/1998,1998,January,0.046,0.052
National,U.S.,02/01/1998,1998,February,0.046,0.05
National,U.S.,03/01/1998,1998,March,0.047,0.05
National,U.S.,04/01/1998,1998,April,0.043,0.041
National,U.S.,05/01/1998,1998,May,0.044,0.042
National,U.S.,06/01/1998,1998,June,0.045,0.047
National,U.S.,07/01/1998,1998,July,0.045,0.047
National,U.S.,08/01/1998,1998,August,0.045,0.045
National,U.S.,09/01/1998,1998,September,0.046,0.044
National,U.S.,10/01/1998,1998,October,0.045,0.042
National,U.S.,11/01/1998,1998,November,0.044,0.041
National,U.S.,12/01/1998,1998,December,0.044,0.04
National,U.S.,01/01/1999,1999,January,0.043,0.048
National,U.S.,02/01/1999,1999,February,0.044,0.047
National,U.S.,03/01/1999,1999,March,0.042,0.044
National,U.S.,04/01/1999,1999,April,0.043,0.041
National,U.S.,05/01/1999,1999,May,0.042,0.04
National,U.S.,06/01/1999,1999,June,0.043,0.045
National,U.S.,07/01/1999,1999,July,0.043,0.045
National,U.S.,08/01/1999,1999,August,0.042,0.042
National,U.S.,09/01/1999,1999,September,0.042,0.041
National,U.S.,10/01/1999,1999,October,0.041,0.038
National,U.S.,11/01/1999,1999,November,0.041,0.038
National,U.S.,12/01/1999,1999,December,0.04,0.037
National,U.S.,01/01/2000,2000,January,0.04,0.045
National,U.S.,02/01/2000,2000,February,0.041,0.044
National,U.S.,03/01/2000,2000,March,0.04,0.043
National,U.S.,04/01/2000,2000,April,0.038,0.037
National,U.S.,05/01/2000,2000,May,0.04,0.038
National,U.S.,06/01/2000,2000,June,0.04,0.041
National,U.S.,07/01/2000,2000,July,0.04,0.042
National,U.S.,08/01/2000,2000,August,0.041,0.041
National,U.S.,09/01/2000,2000,September,0.039,0.038
National,U.S.,10/01/2000,2000,October,0.039,0.036
National,U.S.,11/01/2000,2000,November,0.039,0.037
National,U.S.,12/01/2000,2000,December,0.039,0.037
National,U.S.,01/01/2001,2001,January,0.042,0.047
National,U.S.,02/01/2001,2001,February,0.042,0.046
National,U.S.,03/01/2001,2001,March,0.043,0.045
National,U.S.,04/01/2001,2001,April,0.044,0.042
National,U.S.,05/01/2001,2001,May,0.043,0.041
National,U.S.,06/01/2001,2001,June,0.045,0.047
National,U.S.,07/01/2001,2001,July,0.046,0.047
National,U.S.,08/01/2001,2001,August,0.049,0.049
National,U.S.,09/01/2001,2001,September,0.05,0.047
National,U.S.,10/01/2001,2001,October,0.053,0.05
National,U.S.,11/01/2001,2001,November,0.055,0.053
National,U.S.,12/01/2001,2001,December,0.057,0.054
National,U.S.,01/01/2002,2002,January,0.057,0.063
National,U.S.,02/01/2002,2002,February,0.057,0.061
National,U.S.,03/01/2002,2002,March,0.057,0.061
National,U.S.,04/01/2002,2002,April,0.059,0.057
National,U.S.,05/01/2002,2002,May,0.058,0.055
National,U.S.,06/01/2002,2002,June,0.058,0.06
National,U.S.,07/01/2002,2002,July,0.058,0.059
National,U.S.,08/01/2002,2002,August,0.057,0.057
National,U.S.,09/01/2002,2002,September,0.057,0.054
National,U.S.,10/01/2002,2002,October,0.057,0.053
National,U.S.,11/01/2002,2002,November,0.059,0.056
National,U.S.,12/01/2002,2002,December,0.06,0.057
National,U.S.,01/01/2003,2003,January,0.058,0.065
National,U.S.,02/01/2003,2003,February,0.059,0.064
National,U.S.,03/01/2003,2003,March,0.059,0.062
National,U.S.,04/01/2003,2003,April,0.06,0.058
National,U.S.,05/01/2003,2003,May,0.061,0.058
National,U.S.,06/01/2003,2003,June,0.063,0.065
National,U.S.,07/01/2003,2003,July,0.062,0.063
National,U.S.,08/01/2003,2003,August,0.061,0.06
National,U.S.,09/01/2003,2003,September,0.061,0.058
National,U.S.,10/01/2003,2003,October,0.06,0.056
National,U.S.,11/01/2003,2003,November,0.058,0.056
National,U.S.,12/01/2003,2003,December,0.057,0.054
National,U.S.,01/01/2004,2004,January,0.057,0.063
National,U.S.,02/01/2004,2004,February,0.056,0.06
National,U.S.,03/01/2004,2004,March,0.058,0.06
National,U.S.,04/01/2004,2004,April,0.056,0.054
National,U.S.,05/01/2004,2004,May,0.056,0.053
National,U.S.,06/01/2004,2004,June,0.056,0.058
National,U.S.,07/01/2004,2004,July,0.055,0.057
National,U.S.,08/01/2004,2004,August,0.054,0.054
National,U.S.,09/01/2004,2004,September,0.054,0.051
National,U.S.,10/01/2004,2004,October,0.055,0.051
National,U.S.,11/01/2004,2004,November,0.054,0.052
National,U.S.,12/01/2004,2004,December,0.054,0.051
National,U.S.,01/01/2005,2005,January,0.053,0.057
National,U.S.,02/01/2005,2005,February,0.054,0.058
National,U.S.,03/01/2005,2005,March,0.052,0.054
National,U.S.,04/01/2005,2005,April,0.052,0.049
National,U.S.,05/01/2005,2005,May,0.051,0.049
National,U.S.,06/01/2005,2005,June,0.05,0.052
National,U.S.,07/01/2005,2005,July,0.05,0.052
National,U.S.,08/01/2005,2005,August,0.049,0.049
National,U.S.,09/01/2005,2005,September,0.05,0.048
National,U.S.,10/01/2005,2005,October,0.05,0.046
National,U.S.,11/01/2005,2005,November,0.05,0.048
National,U.S.,12/01/2005,2005,December,0.049,0.046
National,U.S.,01/01/2006,2006,January,0.047,0.051
National,U.S.,02/01/2006,2006,February,0.048,0.051
National,U.S.,03/01/2006,2006,March,0.047,0.048
National,U.S.,04/01/2006,2006,April,0.047,0.045
National,U.S.,05/01/2006,2006,May,0.046,0.044
National,U.S.,06/01/2006,2006,June,0.046,0.048
National,U.S.,07/01/2006,2006,July,0.047,0.05
National,U.S.,08/01/2006,2006,August,0.047,0.046
National,U.S.,09/01/2006,2006,September,0.045,0.044
National,U.S.,10/01/2006,2006,October,0.044,0.041
National,U.S.,11/01/2006,2006,November,0.045,0.043
National,U.S.,12/01/2006,2006,December,0.044,0.043
National,U.S.,01/01/2007,2007,January,0.046,0.05
National,U.S.,02/01/2007,2007,February,0.045,0.049
National,U.S.,03/01/2007,2007,March,0.044,0.045
National,U.S.,04/01/2007,2007,April,0.045,0.043
National,U.S.,05/01/2007,2007,May,0.044,0.043
National,U.S.,06/01/2007,2007,June,0.046,0.047
National,U.S.,07/01/2007,2007,July,0.047,0.049
National,U.S.,08/01/2007,2007,August,0.046,0.046
National,U.S.,09/01/2007,2007,September,0.047,0.045
National,U.S.,10/01/2007,2007,October,0.047,0.044
National,U.S.,11/01/2007,2007,November,0.047,0.045
National,U.S.,12/01/2007,2007,December,0.05,0.048
National,U.S.,01/01/2008,2008,January,0.05,0.054
National,U.S.,02/01/2008,2008,February,0.049,0.052
National,U.S.,03/01/2008,2008,March,0.051,0.052
National,U.S.,04/01/2008,2008,April,0.05,0.048
National,U.S.,05/01/2008,2008,May,0.054,0.052
National,U.S.,06/01/2008,2008,June,0.056,0.057
National,U.S.,07/01/2008,2008,July,0.058,0.06
National,U.S.,08/01/2008,2008,August,0.061,0.061
National,U.S.,09/01/2008,2008,September,0.061,0.06
National,U.S.,10/01/2008,2008,October,0.065,0.061
National,U.S.,11/01/2008,2008,November,0.068,0.065
National,U.S.,12/01/2008,2008,December,0.073,0.071
National,U.S.,01/01/2009,2009,January,0.078,0.085
National,U.S.,02/01/2009,2009,February,0.083,0.089
National,U.S.,03/01/2009,2009,March,0.087,0.09
National,U.S.,04/01/2009,2009,April,0.09,0.086
National,U.S.,05/01/2009,2009,May,0.094,0.091
National,U.S.,06/01/2009,2009,June,0.095,0.097
National,U.S.,07/01/2009,2009,July,0.095,0.097
National,U.S.,08/01/2009,2009,August,0.096,0.096
National,U.S.,09/01/2009,2009,September,0.098,0.095
National,U.S.,10/01/2009,2009,October,0.1,0.095
National,U.S.,11/01/2009,2009,November,0.099,0.094
National,U.S.,12/01/2009,2009,December,0.099,0.097
National,U.S.,01/01/2010,2010,January,0.098,0.106
National,U.S.,02/01/2010,2010,February,0.098,0.104
National,U.S.,03/01/2010,2010,March,0.099,0.102
National,U.S.,04/01/2010,2010,April,0.099,0.095
National,U.S.,05/01/2010,2010,May,0.096,0.093
National,U.S.,06/01/2010,2010,June,0.094,0.096
National,U.S.,07/01/2010,2010,July,0.094,0.097
National,U.S.,08/01/2010,2010,August,0.095,0.095
National,U.S.,09/01/2010,2010,September,0.095,0.092
National,U.S.,10/01/2010,2010,October,0.094,0.09
National,U.S.,11/01/2010,2010,November,0.098,0.093
National,U.S.,12/01/2010,2010,December,0.093,0.091
National,U.S.,01/01/2011,2011,January,0.091,0.098
National,U.S.,02/01/2011,2011,February,0.09,0.095
National,U.S.,03/01/2011,2011,March,0.09,0.092
National,U.S.,04/01/2011,2011,April,0.091,0.087
National,U.S.,05/01/2011,2011,May,0.09,0.087
National,U.S.,06/01/2011,2011,June,0.091,0.093
National,U.S.,07/01/2011,2011,July,0.09,0.093
National,U.S.,08/01/2011,2011,August,0.09,0.091
National,U.S.,09/01/2011,2011,September,0.09,0.088
National,U.S.,10/01/2011,2011,October,0.088,0.085
National,U.S.,11/01/2011,2011,November,0.086,0.082
National,U.S.,12/01/2011,2011,December,0.085,0.083
National,U.S.,01/01/2012,2012,January,0.083,0.088
National,U.S.,02/01/2012,2012,February,0.083,0.087
National,U.S.,03/01/2012,2012,March,0.082,0.084
National,U.S.,04/01/2012,2012,April,0.082,0.077
National,U.S.,05/01/2012,2012,May,0.082,0.079
National,U.S.,06/01/2012,2012,June,0.082,0.084
National,U.S.,07/01/2012,2012,July,0.082,0.086
National,U.S.,08/01/2012,2012,August,0.081,0.082
National,U.S.,09/01/2012,2012,September,0.078,0.076
National,U.S.,10/01/2012,2012,October,0.078,0.075
National,U.S.,11/01/2012,2012,November,0.077,0.074
National,U.S.,12/01/2012,2012,December,0.079,0.076
National,U.S.,01/01/2013,2013,January,0.08,0.085
National,U.S.,02/01/2013,2013,February,0.077,0.081
National,U.S.,03/01/2013,2013,March,0.075,0.076
National,U.S.,04/01/2013,2013,April,0.076,0.071
National,U.S.,05/01/2013,2013,May,0.075,0.073
National,U.S.,06/01/2013,2013,June,0.075,0.078
National,U.S.,07/01/2013,2013,July,0.073,0.077
National,U.S.,08/01/2013,2013,August,0.072,0.073
National,U.S.,09/01/2013,2013,September,0.072,0.07
National,U.S.,10/01/2013,2013,October,0.072,0.07
National,U.S.,11/01/2013,2013,November,0.069,0.066
National,U.S.,12/01/2013,2013,December,0.067,0.065
National,U.S.,01/01/2014,2014,January,0.066,0.07
National,U.S.,02/01/2014,2014,February,0.067,0.07
National,U.S.,03/01/2014,2014,March,0.067,0.068
National,U.S.,04/01/2014,2014,April,0.062,0.059
National,U.S.,05/01/2014,2014,May,0.063,0.061
National,U.S.,06/01/2014,2014,June,0.061,0.063
National,U.S.,07/01/2014,2014,July,0.062,0.065
National,U.S.,08/01/2014,2014,August,0.061,0.063
National,U.S.,09/01/2014,2014,September,0.059,0.057
National,U.S.,10/01/2014,2014,October,0.057,0.055
National,U.S.,11/01/2014,2014,November,0.058,0.055
National,U.S.,12/01/2014,2014,December,0.056,0.054
National,U.S.,01/01/2015,2015,January,0.057,0.061
National,U.S.,02/01/2015,2015,February,0.055,0.058
National,U.S.,03/01/2015,2015,March,0.054,0.056
National,U.S.,04/01/2015,2015,April,0.054,0.051
National,U.S.,05/01/2015,2015,May,0.056,0.053
National,U.S.,06/01/2015,2015,June,0.053,0.055
National,U.S.,07/01/2015,2015,July,0.052,0.056
National,U.S.,08/01/2015,2015,August,0.051,0.052
National,U.S.,09/01/2015,2015,September,0.05,0.049
National,U.S.,10/01/2015,2015,October,0.05,0.048
National,U.S.,11/01/2015,2015,November,0.051,0.048
National,U.S.,12/01/2015,2015,December,0.05,0.048
National,U.S.,01/01/2016,2016,January,0.048,0.053
National,U.S.,02/01/2016,2016,February,0.049,0.052
National,U.S.,03/01/2016,2016,March,0.05,0.051
National,U.S.,04/01/2016,2016,April,0.051,0.047
National,U.S.,05/01/2016,2016,May,0.048,0.045
National,U.S.,06/01/2016,2016,June,0.049,0.051
National,U.S.,07/01/2016,2016,July,0.048,0.051
National,U.S.,08/01/2016,2016,August,0.049,0.05
National,U.S.,09/01/2016,2016,September,0.05,0.048
National,U.S.,10/01/2016,2016,October,0.049,0.047
National,U.S.,11/01/2016,2016,November,0.047,0.044
National,U.S.,12/01/2016,2016,December,0.047,0.045
National,U.S.,01/01/2017,2017,January,0.047,0.051
National,U.S.,02/01/2017,2017,February,0.046,0.049
National,U.S.,03/01/2017,2017,March,0.044,0.046
National,U.S.,04/01/2017,2017,April,0.044,0.041
National,U.S.,05/01/2017,2017,May,0.044,0.041
National,U.S.,06/01/2017,2017,June,0.043,0.045
National,U.S.,07/01/2017,2017,July,0.043,0.046
National,U.S.,08/01/2017,2017,August,0.044,0.045
National,U.S.,09/01/2017,2017,September,0.043,0.041
National,U.S.,10/01/2017,2017,October,0.042,0.039
National,U.S.,11/01/2017,2017,November,0.042,0.039
National,U.S.,12/01/2017,2017,December,0.041,0.039
National,U.S.,01/01/2018,2018,January,0.04,0.045
National,U.S.,02/01/2018,2018,February,0.041,0.044
National,U.S.,03/01/2018,2018,March,0.04,0.041
National,U.S.,04/01/2018,2018,April,0.04,0.037
National,U.S.,05/01/2018,2018,May,0.038,0.036
National,U.S.,06/01/2018,2018,June,0.04,0.042
National,U.S.,07/01/2018,2018,July,0.038,0.041
National,U.S.,08/01/2018,2018,August,0.038,0.039
National,U.S.,09/01/2018,2018,September,0.037,0.036
National,U.S.,10/01/2018,2018,October,0.038,0.035
National,U.S.,11/01/2018,2018,November,0.038,0.035
National,U.S.,12/01/2018,2018,December,0.039,0.037
National,U.S.,01/01/2019,2019,January,0.04,0.044
National,U.S.,02/01/2019,2019,February,0.038,0.041
National,U.S.,03/01/2019,2019,March,0.038,0.039
National,U.S.,04/01/2019,2019,April,0.036,0.033
National,U.S.,05/01/2019,2019,May,0.036,0.034
National,U.S.,06/01/2019,2019,June,0.036,0.038
National,U.S.,07/01/2019,2019,July,0.037,0.04
National,U.S.,08/01/2019,2019,August,0.037,0.038
National,U.S.,09/01/2019,2019,September,0.035,0.033
National,U.S.,10/01/2019,2019,October,0.036,0.033
National,U.S.,11/01/2019,2019,November,0.036,0.033
National,U.S.,12/01/2019,2019,December,0.036,0.034
National,U.S.,01/01/2020,2020,January,0.035,0.04
National,U.S.,02/01/2020,2020,February,0.035,0.038
National,U.S.,03/01/2020,2020,March,0.044,0.045
National,U.S.,04/01/2020,2020,April,0.147,0.144
National,U.S.,05/01/2020,2020,May,0.132,0.13
National,U.S.,06/01/2020,2020,June,0.11,0.112
National,U.S.,07/01/2020,2020,July,0.102,0.105
National,U.S.,08/01/2020,2020,August,0.084,0.085
National,U.S.,09/01/2020,2020,September,0.079,0.077
National,U.S.,10/01/2020,2020,October,0.069,0.066
National,U.S.,11/01/2020,2020,November,0.067,0.064
National,U.S.,12/01/2020,2020,December,0.067,0.065
National,U.S.,01/01/2021,2021,January,0.064,0.068
National,U.S.,02/01/2021,2021,February,0.062,0.066
National,U.S.,03/01/2021,2021,March,0.06,0.062
National,U.S.,04/01/2021,2021,April,0.06,0.057
National,U.S.,05/01/2021,2021,May,0.058,0.055
National,U.S.,06/01/2021,2021,June,0.059,0.061
National,U.S.,07/01/2021,2021,July,0.054,0.057
National,U.S.,08/01/2021,2021,August,0.052,0.053
National,U.S.,09/01/2021,2021,September,0.047,0.046
National,U.S.,10/01/2021,2021,October,0.046,0.043
National,U.S.,11/01/2021,2021,November,0.042,0.039
National,U.S.,12/01/2021,2021,December,0.039,0.037
National,U.S.,01/01/2022,2022,January,0.04,0.044
National,U.S.,02/01/2022,2022,February,0.038,0.041
National,U.S.,03/01/2022,2022,March,0.036,0.038
National,U.S.,04/01/2022,2022,April,0.036,0.033
National,U.S.,05/01/2022,2022,May,0.036,0.034
National,U.S.,06/01/2022,2022,June,0.036,0.038
National,U.S.,07/01/2022,2022,July,0.035,0.038
National,U.S.,08/01/2022,2022,August,0.037,0.038
National,U.S.,09/01/2022,2022,September,0.035,0.033
